ID,Area,DW,Year,ID_num,Tissue,dta_km,dtfl_km,Gender,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
49_03_inksac,49,103.9,2021,03,Inksac,376,460,0,46°55'S,60°51'W,5,308.12,807.5,3,0.3,0.455,0,1.613
49_04_inksac,49,105.8,2021,04,Inksac,376,460,1,46°55'S,60°51'W,5,289.00,529.7,5,0.233,0.14,0,2.028
49_05_inksac,49,103.6,2021,05,Inksac,376,460,0,46°55'S,60°51'W,5,260.00,468.0,3,0.377,0.158,0,1.943
49_06_inksac,49,100.4,2021,06,Inksac,376,460,1,46°55'S,60°51'W,5,218.00,229.1,5,1.612,0.398,0,1.379
49_07_inksac,49,102.6,2021,07,Inksac,376,460,1,46°55'S,60°51'W,5,183.00,108.6,1,0,0.077,0,6.462
49_08_inksac,49,106.9,2021,08,Inksac,376,460,0,46°55'S,60°51'W,5,206.00,158.3,2,0.64,0.126,0,1.417
49_09_inksac,49,105.4,2021,09,Inksac,376,460,0,46°55'S,60°51'W,5,219.00,186.2,2,4.641,0.628,0,1.164
49_10_inksac,49,102.1,2021,10,Inksac,376,460,1,46°55'S,60°51'W,5,197.00,140.3,2,0,0.472,0,0.225
49_11_inksac,49,103.0,2021,11,Inksac,376,460,0,46°55'S,60°51'W,5,186.00,107.6,1,1.116,0.398,0,1.337
49_12_inksac,49,108.1,2021,12,Inksac,376,460,0,46°55'S,60°51'W,5,192.00,151.7,1,7.097,0.289,0,0.898
49_13_inksac,49,102.2,2021,13,Inksac,376,460,1,46°55'S,60°51'W,5,197.00,170.3,3,0.562,0.231,0,0.486
49_14_inksac,49,101.5,2021,14,Inksac,376,460,1,46°55'S,60°51'W,5,181.00,119.6,2,1.73,0.52,0,0.507
49_15_inksac,49,109.8,2021,15,Inksac,376,460,1,46°55'S,60°51'W,5,194.00,148.5,3,1.893,0.608,0,1.364
